workforce_record_id,service_id,site_id,record_date,staff_group,planned_fte,available_fte,absence_rate,remote_working_rate,session_capacity,vacancy_rate
WRK-00062,SVC-002,SITE-02,2024-09-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00063,SVC-003,SITE-03,2024-09-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00064,SVC-004,SITE-04,2024-09-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00065,SVC-005,SITE-01,2024-09-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00066,SVC-006,SITE-02,2024-09-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00067,SVC-007,SITE-03,2024-09-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00068,SVC-008,SITE-04,2024-09-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00069,SVC-009,SITE-01,2024-09-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00070,SVC-010,SITE-02,2024-09-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00071,SVC-011,SITE-03,2024-09-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00072,SVC-012,SITE-04,2024-09-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00073,SVC-001,SITE-01,2024-10-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00074,SVC-002,SITE-02,2024-10-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00075,SVC-003,SITE-03,2024-10-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00076,SVC-004,SITE-04,2024-10-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00077,SVC-005,SITE-01,2024-10-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00078,SVC-006,SITE-02,2024-10-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00079,SVC-007,SITE-03,2024-10-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00080,SVC-008,SITE-04,2024-10-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00081,SVC-009,SITE-01,2024-10-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00082,SVC-010,SITE-02,2024-10-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00083,SVC-011,SITE-03,2024-10-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00084,SVC-012,SITE-04,2024-10-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00085,SVC-001,SITE-01,2024-11-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00086,SVC-002,SITE-02,2024-11-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00087,SVC-003,SITE-03,2024-11-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00088,SVC-004,SITE-04,2024-11-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00089,SVC-005,SITE-01,2024-11-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00090,SVC-006,SITE-02,2024-11-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00091,SVC-007,SITE-03,2024-11-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00092,SVC-008,SITE-04,2024-11-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00093,SVC-009,SITE-01,2024-11-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00094,SVC-010,SITE-02,2024-11-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00095,SVC-011,SITE-03,2024-11-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00096,SVC-012,SITE-04,2024-11-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00097,SVC-001,SITE-01,2024-12-01,medical,2,1.8,0.07,0.14,16,0.03
WRK-00098,SVC-002,SITE-02,2024-12-01,nursing,2.8,2.48,0.075,0.245,22,0.04
WRK-00099,SVC-003,SITE-03,2024-12-01,allied_health,3.6,3.13,0.08,0,28,0.05
WRK-00100,SVC-004,SITE-04,2024-12-01,administrative,4.4,3.83,0.07,0,35,0.06
WRK-00101,SVC-005,SITE-01,2024-12-01,technical,2,1.71,0.075,0.105,16,0.07
WRK-00102,SVC-006,SITE-02,2024-12-01,medical,2.8,2.49,0.08,0.035,22,0.03
WRK-00103,SVC-007,SITE-03,2024-12-01,nursing,3.6,3.2,0.07,0.07,28,0.04
WRK-00104,SVC-008,SITE-04,2024-12-01,allied_health,4.4,3.85,0.075,0.525,35,0.05
WRK-00105,SVC-009,SITE-01,2024-12-01,administrative,2,1.72,0.08,0.315,16,0.06
WRK-00106,SVC-010,SITE-02,2024-12-01,technical,2.8,2.41,0.07,0,22,0.07
WRK-00107,SVC-011,SITE-03,2024-12-01,medical,3.6,3.22,0.075,0,28,0.03
WRK-00108,SVC-012,SITE-04,2024-12-01,nursing,4.4,3.87,0.08,0.595,35,0.04
WRK-00109,SVC-001,SITE-01,2025-01-01,medical,2,1.8,0.07,0.14,16,0.03
WRK-00110,SVC-002,SITE-02,2025-01-01,nursing,2.8,2.48,0.075,0.245,22,0.04
WRK-00111,SVC-003,SITE-03,2025-01-01,allied_health,3.6,3.13,0.08,0,28,0.05
WRK-00112,SVC-004,SITE-04,2025-01-01,administrative,4.4,3.83,0.07,0,35,0.06
WRK-00113,SVC-005,SITE-01,2025-01-01,technical,2,1.71,0.075,0.105,16,0.07
WRK-00114,SVC-006,SITE-02,2025-01-01,medical,2.8,2.49,0.08,0.035,22,0.03
WRK-00115,SVC-007,SITE-03,2025-01-01,nursing,3.6,3.2,0.07,0.07,28,0.04
WRK-00116,SVC-008,SITE-04,2025-01-01,allied_health,4.4,3.85,0.075,0.525,35,0.05
WRK-00117,SVC-009,SITE-01,2025-01-01,administrative,2,1.72,0.08,0.315,16,0.06
WRK-00118,SVC-010,SITE-02,2025-01-01,technical,2.8,2.41,0.07,0,22,0.07
WRK-00119,SVC-011,SITE-03,2025-01-01,medical,3.6,3.22,0.075,0,28,0.03
WRK-00120,SVC-012,SITE-04,2025-01-01,nursing,4.4,3.87,0.08,0.595,35,0.04
WRK-00121,SVC-001,SITE-01,2025-02-01,medical,2,1.8,0.07,0.14,16,0.03
WRK-00122,SVC-002,SITE-02,2025-02-01,nursing,2.8,2.48,0.075,0.245,22,0.04
WRK-00123,SVC-003,SITE-03,2025-02-01,allied_health,3.6,3.13,0.08,0,28,0.05
WRK-00124,SVC-004,SITE-04,2025-02-01,administrative,4.4,3.83,0.07,0,35,0.06
WRK-00125,SVC-005,SITE-01,2025-02-01,technical,2,1.71,0.075,0.105,16,0.07
WRK-00126,SVC-006,SITE-02,2025-02-01,medical,2.8,2.49,0.08,0.035,22,0.03
WRK-00127,SVC-007,SITE-03,2025-02-01,nursing,3.6,3.2,0.07,0.07,28,0.04
WRK-00128,SVC-008,SITE-04,2025-02-01,allied_health,4.4,3.85,0.075,0.525,35,0.05
WRK-00129,SVC-009,SITE-01,2025-02-01,administrative,2,1.72,0.08,0.315,16,0.06
WRK-00130,SVC-010,SITE-02,2025-02-01,technical,2.8,2.41,0.07,0,22,0.07
WRK-00131,SVC-011,SITE-03,2025-02-01,medical,3.6,3.22,0.075,0,28,0.03
WRK-00132,SVC-012,SITE-04,2025-02-01,nursing,4.4,3.87,0.08,0.595,35,0.04
WRK-00133,SVC-001,SITE-01,2025-03-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00134,SVC-002,SITE-02,2025-03-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00135,SVC-003,SITE-03,2025-03-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00136,SVC-004,SITE-04,2025-03-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00137,SVC-005,SITE-01,2025-03-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00138,SVC-006,SITE-02,2025-03-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00139,SVC-007,SITE-03,2025-03-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00140,SVC-008,SITE-04,2025-03-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00141,SVC-009,SITE-01,2025-03-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00142,SVC-010,SITE-02,2025-03-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00143,SVC-011,SITE-03,2025-03-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00144,SVC-012,SITE-04,2025-03-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00145,SVC-001,SITE-01,2025-04-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00146,SVC-002,SITE-02,2025-04-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00147,SVC-003,SITE-03,2025-04-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00148,SVC-004,SITE-04,2025-04-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00149,SVC-005,SITE-01,2025-04-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00150,SVC-006,SITE-02,2025-04-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00151,SVC-007,SITE-03,2025-04-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00152,SVC-008,SITE-04,2025-04-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00153,SVC-009,SITE-01,2025-04-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00154,SVC-010,SITE-02,2025-04-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00155,SVC-011,SITE-03,2025-04-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00156,SVC-012,SITE-04,2025-04-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00157,SVC-001,SITE-01,2025-05-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00158,SVC-002,SITE-02,2025-05-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00159,SVC-003,SITE-03,2025-05-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00160,SVC-004,SITE-04,2025-05-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00161,SVC-005,SITE-01,2025-05-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00162,SVC-006,SITE-02,2025-05-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00163,SVC-007,SITE-03,2025-05-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00164,SVC-008,SITE-04,2025-05-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00165,SVC-009,SITE-01,2025-05-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00166,SVC-010,SITE-02,2025-05-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00167,SVC-011,SITE-03,2025-05-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00168,SVC-012,SITE-04,2025-05-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00169,SVC-001,SITE-01,2025-06-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00170,SVC-002,SITE-02,2025-06-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00171,SVC-003,SITE-03,2025-06-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00172,SVC-004,SITE-04,2025-06-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00173,SVC-005,SITE-01,2025-06-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00174,SVC-006,SITE-02,2025-06-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00175,SVC-007,SITE-03,2025-06-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00176,SVC-008,SITE-04,2025-06-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00177,SVC-009,SITE-01,2025-06-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00178,SVC-010,SITE-02,2025-06-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00179,SVC-011,SITE-03,2025-06-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00180,SVC-012,SITE-04,2025-06-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00181,SVC-001,SITE-01,2025-07-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00182,SVC-002,SITE-02,2025-07-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00183,SVC-003,SITE-03,2025-07-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00184,SVC-004,SITE-04,2025-07-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00185,SVC-005,SITE-01,2025-07-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00186,SVC-006,SITE-02,2025-07-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00187,SVC-007,SITE-03,2025-07-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00188,SVC-008,SITE-04,2025-07-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00189,SVC-009,SITE-01,2025-07-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00190,SVC-010,SITE-02,2025-07-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00191,SVC-011,SITE-03,2025-07-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00192,SVC-012,SITE-04,2025-07-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00193,SVC-001,SITE-01,2025-08-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00194,SVC-002,SITE-02,2025-08-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00195,SVC-003,SITE-03,2025-08-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00196,SVC-004,SITE-04,2025-08-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00197,SVC-005,SITE-01,2025-08-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00198,SVC-006,SITE-02,2025-08-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00199,SVC-007,SITE-03,2025-08-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00200,SVC-008,SITE-04,2025-08-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00201,SVC-009,SITE-01,2025-08-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00202,SVC-010,SITE-02,2025-08-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00203,SVC-011,SITE-03,2025-08-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00204,SVC-012,SITE-04,2025-08-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00205,SVC-001,SITE-01,2025-09-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00206,SVC-002,SITE-02,2025-09-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00207,SVC-003,SITE-03,2025-09-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00208,SVC-004,SITE-04,2025-09-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00209,SVC-005,SITE-01,2025-09-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00210,SVC-006,SITE-02,2025-09-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00211,SVC-007,SITE-03,2025-09-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00212,SVC-008,SITE-04,2025-09-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00213,SVC-009,SITE-01,2025-09-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00214,SVC-010,SITE-02,2025-09-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00215,SVC-011,SITE-03,2025-09-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00216,SVC-012,SITE-04,2025-09-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00217,SVC-001,SITE-01,2025-10-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00218,SVC-002,SITE-02,2025-10-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00219,SVC-003,SITE-03,2025-10-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00220,SVC-004,SITE-04,2025-10-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00221,SVC-005,SITE-01,2025-10-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00222,SVC-006,SITE-02,2025-10-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00223,SVC-007,SITE-03,2025-10-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00224,SVC-008,SITE-04,2025-10-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00225,SVC-009,SITE-01,2025-10-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00226,SVC-010,SITE-02,2025-10-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00227,SVC-011,SITE-03,2025-10-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00228,SVC-012,SITE-04,2025-10-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00229,SVC-001,SITE-01,2025-11-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00230,SVC-002,SITE-02,2025-11-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00231,SVC-003,SITE-03,2025-11-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00232,SVC-004,SITE-04,2025-11-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00233,SVC-005,SITE-01,2025-11-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00234,SVC-006,SITE-02,2025-11-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00235,SVC-007,SITE-03,2025-11-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00236,SVC-008,SITE-04,2025-11-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00237,SVC-009,SITE-01,2025-11-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00238,SVC-010,SITE-02,2025-11-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00239,SVC-011,SITE-03,2025-11-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00240,SVC-012,SITE-04,2025-11-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00241,SVC-001,SITE-01,2025-12-01,medical,2,1.8,0.07,0.14,16,0.03
WRK-00242,SVC-002,SITE-02,2025-12-01,nursing,2.8,2.48,0.075,0.245,22,0.04
WRK-00243,SVC-003,SITE-03,2025-12-01,allied_health,3.6,3.13,0.08,0,28,0.05
WRK-00244,SVC-004,SITE-04,2025-12-01,administrative,4.4,3.83,0.07,0,35,0.06
WRK-00245,SVC-005,SITE-01,2025-12-01,technical,2,1.71,0.075,0.105,16,0.07
WRK-00246,SVC-006,SITE-02,2025-12-01,medical,2.8,2.49,0.08,0.035,22,0.03
WRK-00247,SVC-007,SITE-03,2025-12-01,nursing,3.6,3.2,0.07,0.07,28,0.04
WRK-00248,SVC-008,SITE-04,2025-12-01,allied_health,4.4,3.85,0.075,0.525,35,0.05
WRK-00249,SVC-009,SITE-01,2025-12-01,administrative,2,1.72,0.08,0.315,16,0.06
WRK-00250,SVC-010,SITE-02,2025-12-01,technical,2.8,2.41,0.07,0,22,0.07
WRK-00251,SVC-011,SITE-03,2025-12-01,medical,3.6,3.22,0.075,0,28,0.03
WRK-00252,SVC-012,SITE-04,2025-12-01,nursing,4.4,3.87,0.08,0.595,35,0.04
WRK-00253,SVC-001,SITE-01,2026-01-01,medical,2,1.8,0.07,0.14,16,0.03
WRK-00254,SVC-002,SITE-02,2026-01-01,nursing,2.8,2.48,0.075,0.245,22,0.04
WRK-00255,SVC-003,SITE-03,2026-01-01,allied_health,3.6,3.13,0.08,0,28,0.05
WRK-00256,SVC-004,SITE-04,2026-01-01,administrative,4.4,3.83,0.07,0,35,0.06
WRK-00257,SVC-005,SITE-01,2026-01-01,technical,2,1.71,0.075,0.105,16,0.07
WRK-00258,SVC-006,SITE-02,2026-01-01,medical,2.8,2.49,0.08,0.035,22,0.03
WRK-00259,SVC-007,SITE-03,2026-01-01,nursing,3.6,3.2,0.07,0.07,28,0.04
WRK-00260,SVC-008,SITE-04,2026-01-01,allied_health,4.4,3.85,0.075,0.525,35,0.05
WRK-00261,SVC-009,SITE-01,2026-01-01,administrative,2,1.72,0.08,0.315,16,0.06
WRK-00262,SVC-010,SITE-02,2026-01-01,technical,2.8,2.41,0.07,0,22,0.07
WRK-00263,SVC-011,SITE-03,2026-01-01,medical,3.6,3.22,0.075,0,28,0.03
WRK-00264,SVC-012,SITE-04,2026-01-01,nursing,4.4,3.87,0.08,0.595,35,0.04
WRK-00265,SVC-001,SITE-01,2026-02-01,medical,2,1.8,0.07,0.14,16,0.03
WRK-00266,SVC-002,SITE-02,2026-02-01,nursing,2.8,2.48,0.075,0.245,22,0.04
WRK-00267,SVC-003,SITE-03,2026-02-01,allied_health,3.6,3.13,0.08,0,28,0.05
WRK-00268,SVC-004,SITE-04,2026-02-01,administrative,4.4,3.83,0.07,0,35,0.06
WRK-00269,SVC-005,SITE-01,2026-02-01,technical,2,1.71,0.075,0.105,16,0.07
WRK-00270,SVC-006,SITE-02,2026-02-01,medical,2.8,2.49,0.08,0.035,22,0.03
WRK-00271,SVC-007,SITE-03,2026-02-01,nursing,3.6,3.2,0.07,0.07,28,0.04
WRK-00272,SVC-008,SITE-04,2026-02-01,allied_health,4.4,3.85,0.075,0.525,35,0.05
WRK-00273,SVC-009,SITE-01,2026-02-01,administrative,2,1.72,0.08,0.315,16,0.06
WRK-00274,SVC-010,SITE-02,2026-02-01,technical,2.8,2.41,0.07,0,22,0.07
