activity_id,service_id,room_id,activity_date,appointment_type,scheduled_contacts,completed_contacts,face_to_face_contacts,remote_contacts,did_not_attend_count,cancelled_contacts,average_contact_duration_minutes,activity_source
ACT-00028,SVC-001,ROOM-0019,2024-09-01,follow_up,18,16,13,3,0,0,30,synthetic_booking_summary
ACT-00029,SVC-001,ROOM-0019,2024-12-01,follow_up,21,19,16,3,0,0,30,synthetic_booking_summary
ACT-00030,SVC-001,ROOM-0019,2025-03-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00031,SVC-001,ROOM-0019,2025-06-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00032,SVC-001,ROOM-0019,2025-10-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00033,SVC-001,ROOM-0019,2025-12-01,follow_up,12,10,8,2,0,0,30,synthetic_booking_summary
ACT-00034,SVC-001,ROOM-0025,2024-04-01,follow_up,10,6,5,1,0,0,30,synthetic_booking_summary
ACT-00035,SVC-001,ROOM-0025,2024-10-01,follow_up,13,13,11,2,0,0,30,synthetic_booking_summary
ACT-00036,SVC-001,ROOM-0025,2024-11-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00037,SVC-001,ROOM-0025,2024-12-01,follow_up,12,12,10,2,0,0,30,synthetic_booking_summary
ACT-00038,SVC-001,ROOM-0025,2025-03-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00039,SVC-001,ROOM-0025,2025-05-01,follow_up,5,4,4,0,0,0,30,synthetic_booking_summary
ACT-00040,SVC-001,ROOM-0025,2025-06-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00041,SVC-001,ROOM-0025,2025-07-01,follow_up,8,8,7,1,0,0,30,synthetic_booking_summary
ACT-00042,SVC-001,ROOM-0025,2025-09-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00043,SVC-001,ROOM-0025,2025-12-01,follow_up,6,6,5,1,0,0,30,synthetic_booking_summary
ACT-00044,SVC-001,ROOM-0025,2026-02-01,follow_up,12,10,8,2,0,0,30,synthetic_booking_summary
ACT-00045,SVC-001,ROOM-0025,2026-03-01,follow_up,8,7,6,1,0,0,30,synthetic_booking_summary
ACT-00046,SVC-001,ROOM-0031,2024-06-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00047,SVC-001,ROOM-0031,2024-10-01,follow_up,16,6,5,1,8,0,30,synthetic_booking_summary
ACT-00048,SVC-001,ROOM-0031,2024-11-01,follow_up,6,4,4,0,0,0,30,synthetic_booking_summary
ACT-00049,SVC-001,ROOM-0031,2025-01-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00050,SVC-001,ROOM-0031,2025-05-01,follow_up,5,5,4,1,0,0,30,synthetic_booking_summary
ACT-00051,SVC-001,ROOM-0031,2025-07-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00052,SVC-001,ROOM-0031,2026-03-01,follow_up,11,0,0,0,0,11,30,synthetic_booking_summary
ACT-00053,SVC-001,ROOM-0037,2024-06-01,follow_up,8,0,0,0,0,8,30,synthetic_booking_summary
ACT-00054,SVC-001,ROOM-0037,2024-08-01,follow_up,8,8,7,1,0,0,30,synthetic_booking_summary
ACT-00055,SVC-001,ROOM-0037,2024-09-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00056,SVC-001,ROOM-0037,2024-10-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00057,SVC-001,ROOM-0037,2025-01-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00058,SVC-001,ROOM-0037,2025-05-01,follow_up,19,17,14,3,0,0,30,synthetic_booking_summary
ACT-00059,SVC-001,ROOM-0037,2025-06-01,follow_up,11,10,8,2,0,0,30,synthetic_booking_summary
ACT-00060,SVC-001,ROOM-0037,2025-10-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00061,SVC-001,ROOM-0037,2025-12-01,follow_up,6,0,0,0,6,0,30,synthetic_booking_summary
ACT-00062,SVC-001,ROOM-0037,2026-02-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00063,SVC-001,ROOM-0043,2024-04-01,follow_up,30,27,22,5,0,0,30,synthetic_booking_summary
ACT-00064,SVC-001,ROOM-0043,2024-07-01,follow_up,11,10,8,2,0,0,30,synthetic_booking_summary
ACT-00065,SVC-001,ROOM-0043,2024-08-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00066,SVC-001,ROOM-0043,2024-09-01,follow_up,11,10,8,2,0,0,30,synthetic_booking_summary
ACT-00067,SVC-001,ROOM-0043,2024-10-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00068,SVC-001,ROOM-0043,2024-11-01,follow_up,6,6,5,1,0,0,30,synthetic_booking_summary
ACT-00069,SVC-001,ROOM-0043,2024-12-01,follow_up,9,8,7,1,0,0,30,synthetic_booking_summary
ACT-00070,SVC-001,ROOM-0043,2025-01-01,follow_up,6,4,4,0,0,0,30,synthetic_booking_summary
ACT-00071,SVC-001,ROOM-0043,2025-02-01,follow_up,6,6,5,1,0,0,30,synthetic_booking_summary
ACT-00072,SVC-001,ROOM-0043,2025-04-01,follow_up,5,5,4,1,0,0,30,synthetic_booking_summary
ACT-00073,SVC-001,ROOM-0043,2025-08-01,follow_up,8,8,7,1,0,0,30,synthetic_booking_summary
ACT-00074,SVC-001,ROOM-0043,2025-10-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00075,SVC-001,ROOM-0043,2025-11-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00076,SVC-001,ROOM-0043,2026-01-01,follow_up,12,10,8,2,0,0,30,synthetic_booking_summary
ACT-00077,SVC-001,ROOM-0043,2026-02-01,follow_up,12,12,10,2,0,0,30,synthetic_booking_summary
ACT-00078,SVC-001,ROOM-0049,2024-05-01,follow_up,11,9,8,1,0,0,30,synthetic_booking_summary
ACT-00079,SVC-001,ROOM-0049,2024-06-01,follow_up,11,9,8,1,0,0,30,synthetic_booking_summary
ACT-00080,SVC-001,ROOM-0049,2024-08-01,follow_up,5,0,0,0,0,5,30,synthetic_booking_summary
ACT-00081,SVC-001,ROOM-0049,2024-10-01,follow_up,16,15,12,3,0,0,30,synthetic_booking_summary
ACT-00082,SVC-001,ROOM-0049,2024-11-01,follow_up,12,0,0,0,0,12,30,synthetic_booking_summary
ACT-00083,SVC-001,ROOM-0049,2024-12-01,follow_up,12,10,8,2,0,0,30,synthetic_booking_summary
ACT-00084,SVC-001,ROOM-0049,2025-02-01,follow_up,21,18,15,3,0,0,30,synthetic_booking_summary
ACT-00085,SVC-001,ROOM-0049,2025-11-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00086,SVC-001,ROOM-0049,2026-01-01,follow_up,9,9,8,1,0,0,30,synthetic_booking_summary
ACT-00087,SVC-001,ROOM-0055,2024-06-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00088,SVC-001,ROOM-0055,2024-09-01,follow_up,8,8,7,1,0,0,30,synthetic_booking_summary
ACT-00089,SVC-001,ROOM-0055,2024-10-01,follow_up,8,8,7,1,0,0,30,synthetic_booking_summary
ACT-00090,SVC-001,ROOM-0055,2024-11-01,follow_up,6,4,4,0,0,0,30,synthetic_booking_summary
ACT-00091,SVC-001,ROOM-0055,2024-12-01,follow_up,12,9,8,1,0,0,30,synthetic_booking_summary
ACT-00092,SVC-001,ROOM-0055,2025-02-01,follow_up,9,9,8,1,0,0,30,synthetic_booking_summary
ACT-00093,SVC-001,ROOM-0055,2025-03-01,follow_up,11,9,8,1,0,0,30,synthetic_booking_summary
ACT-00094,SVC-001,ROOM-0055,2025-04-01,follow_up,11,9,8,1,0,0,30,synthetic_booking_summary
ACT-00095,SVC-001,ROOM-0055,2025-05-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00096,SVC-001,ROOM-0055,2025-08-01,follow_up,11,0,0,0,0,11,30,synthetic_booking_summary
ACT-00097,SVC-001,ROOM-0055,2025-10-01,follow_up,11,11,9,2,0,0,30,synthetic_booking_summary
ACT-00098,SVC-001,ROOM-0055,2025-11-01,follow_up,24,12,10,2,12,0,30,synthetic_booking_summary
ACT-00099,SVC-001,ROOM-0055,2025-12-01,follow_up,6,4,4,0,0,0,30,synthetic_booking_summary
ACT-00100,SVC-001,ROOM-0055,2026-01-01,follow_up,9,8,7,1,0,0,30,synthetic_booking_summary
ACT-00101,SVC-002,ROOM-0001,2024-06-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00102,SVC-002,ROOM-0001,2024-08-01,follow_up,21,14,10,4,0,6,30,synthetic_booking_summary
ACT-00103,SVC-002,ROOM-0001,2024-10-01,follow_up,18,16,11,5,0,0,30,synthetic_booking_summary
ACT-00104,SVC-002,ROOM-0001,2025-01-01,follow_up,10,8,6,2,0,0,30,synthetic_booking_summary
ACT-00105,SVC-002,ROOM-0001,2025-02-01,follow_up,13,12,8,4,0,0,30,synthetic_booking_summary
ACT-00106,SVC-002,ROOM-0001,2025-04-01,follow_up,21,17,12,5,0,0,30,synthetic_booking_summary
ACT-00107,SVC-002,ROOM-0001,2025-06-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00108,SVC-002,ROOM-0001,2025-07-01,follow_up,12,0,0,0,0,12,30,synthetic_booking_summary
ACT-00109,SVC-002,ROOM-0001,2025-08-01,follow_up,12,12,8,4,0,0,30,synthetic_booking_summary
ACT-00110,SVC-002,ROOM-0001,2025-12-01,follow_up,10,10,7,3,0,0,30,synthetic_booking_summary
ACT-00111,SVC-002,ROOM-0001,2026-01-01,follow_up,20,18,12,6,0,0,30,synthetic_booking_summary
ACT-00112,SVC-002,ROOM-0001,2026-03-01,follow_up,9,0,0,0,0,9,30,synthetic_booking_summary
ACT-00113,SVC-002,ROOM-0007,2024-04-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00114,SVC-002,ROOM-0007,2024-07-01,follow_up,9,9,6,3,0,0,30,synthetic_booking_summary
ACT-00115,SVC-002,ROOM-0007,2024-11-01,follow_up,10,9,6,3,0,0,30,synthetic_booking_summary
ACT-00116,SVC-002,ROOM-0007,2024-12-01,follow_up,26,23,15,8,0,0,30,synthetic_booking_summary
ACT-00117,SVC-002,ROOM-0007,2025-01-01,follow_up,7,6,4,2,0,0,30,synthetic_booking_summary
ACT-00118,SVC-002,ROOM-0007,2025-05-01,follow_up,12,11,8,3,0,0,30,synthetic_booking_summary
ACT-00119,SVC-002,ROOM-0007,2025-07-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00120,SVC-002,ROOM-0007,2025-08-01,follow_up,9,8,6,2,0,0,30,synthetic_booking_summary
ACT-00121,SVC-002,ROOM-0007,2025-10-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00122,SVC-002,ROOM-0007,2025-11-01,follow_up,13,12,8,4,0,0,30,synthetic_booking_summary
ACT-00123,SVC-002,ROOM-0007,2026-01-01,follow_up,13,13,9,4,0,0,30,synthetic_booking_summary
ACT-00124,SVC-002,ROOM-0007,2026-03-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00125,SVC-002,ROOM-0013,2024-06-01,follow_up,6,4,3,1,0,0,30,synthetic_booking_summary
ACT-00126,SVC-002,ROOM-0013,2024-07-01,follow_up,9,8,6,2,0,0,30,synthetic_booking_summary
ACT-00127,SVC-002,ROOM-0013,2025-02-01,follow_up,10,0,0,0,0,10,30,synthetic_booking_summary
ACT-00128,SVC-002,ROOM-0013,2025-07-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00129,SVC-002,ROOM-0013,2025-09-01,follow_up,18,15,10,5,0,0,30,synthetic_booking_summary
ACT-00130,SVC-002,ROOM-0013,2025-11-01,follow_up,13,12,8,4,0,0,30,synthetic_booking_summary
ACT-00131,SVC-002,ROOM-0013,2026-03-01,follow_up,18,18,12,6,0,0,30,synthetic_booking_summary
ACT-00132,SVC-002,ROOM-0019,2024-05-01,follow_up,12,12,8,4,0,0,30,synthetic_booking_summary
ACT-00133,SVC-002,ROOM-0019,2024-12-01,follow_up,37,33,22,11,0,0,30,synthetic_booking_summary
ACT-00134,SVC-002,ROOM-0019,2025-01-01,follow_up,20,7,5,2,0,13,30,synthetic_booking_summary
ACT-00135,SVC-002,ROOM-0019,2025-10-01,follow_up,6,0,0,0,6,0,30,synthetic_booking_summary
ACT-00136,SVC-002,ROOM-0019,2026-03-01,follow_up,12,0,0,0,0,12,30,synthetic_booking_summary
ACT-00137,SVC-002,ROOM-0025,2024-05-01,follow_up,24,21,14,7,0,0,30,synthetic_booking_summary
ACT-00138,SVC-002,ROOM-0025,2024-07-01,follow_up,33,21,14,7,9,0,30,synthetic_booking_summary
ACT-00139,SVC-002,ROOM-0025,2024-10-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00140,SVC-002,ROOM-0025,2024-11-01,follow_up,13,12,8,4,0,0,30,synthetic_booking_summary
ACT-00141,SVC-002,ROOM-0025,2024-12-01,follow_up,7,5,4,1,0,0,30,synthetic_booking_summary
ACT-00142,SVC-002,ROOM-0025,2025-02-01,follow_up,10,9,6,3,0,0,30,synthetic_booking_summary
ACT-00143,SVC-002,ROOM-0025,2025-04-01,follow_up,9,7,5,2,0,0,30,synthetic_booking_summary
ACT-00144,SVC-002,ROOM-0025,2025-06-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00145,SVC-002,ROOM-0025,2025-07-01,follow_up,9,7,5,2,0,0,30,synthetic_booking_summary
ACT-00146,SVC-002,ROOM-0025,2025-10-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00147,SVC-002,ROOM-0025,2026-02-01,follow_up,20,9,6,3,10,0,30,synthetic_booking_summary
ACT-00148,SVC-002,ROOM-0025,2026-03-01,follow_up,18,16,11,5,0,0,30,synthetic_booking_summary
ACT-00149,SVC-002,ROOM-0031,2024-04-01,follow_up,9,7,5,2,0,0,30,synthetic_booking_summary
ACT-00150,SVC-002,ROOM-0031,2024-06-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00151,SVC-002,ROOM-0031,2024-07-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00152,SVC-002,ROOM-0031,2024-08-01,follow_up,9,7,5,2,0,0,30,synthetic_booking_summary
ACT-00153,SVC-002,ROOM-0031,2024-10-01,follow_up,12,0,0,0,0,12,30,synthetic_booking_summary
ACT-00154,SVC-002,ROOM-0031,2024-12-01,follow_up,7,0,0,0,0,7,30,synthetic_booking_summary
ACT-00155,SVC-002,ROOM-0031,2025-04-01,follow_up,9,7,5,2,0,0,30,synthetic_booking_summary
ACT-00156,SVC-002,ROOM-0031,2025-05-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00157,SVC-002,ROOM-0031,2025-07-01,follow_up,12,12,8,4,0,0,30,synthetic_booking_summary
ACT-00158,SVC-002,ROOM-0031,2025-11-01,follow_up,10,9,6,3,0,0,30,synthetic_booking_summary
ACT-00159,SVC-002,ROOM-0031,2026-01-01,follow_up,10,0,0,0,10,0,30,synthetic_booking_summary
ACT-00160,SVC-002,ROOM-0031,2026-03-01,follow_up,12,11,8,3,0,0,30,synthetic_booking_summary
ACT-00161,SVC-002,ROOM-0037,2024-11-01,follow_up,20,20,13,7,0,0,30,synthetic_booking_summary
ACT-00162,SVC-002,ROOM-0037,2024-12-01,follow_up,7,5,4,1,0,0,30,synthetic_booking_summary
ACT-00163,SVC-002,ROOM-0037,2025-02-01,follow_up,26,23,15,8,0,0,30,synthetic_booking_summary
ACT-00164,SVC-002,ROOM-0037,2025-03-01,follow_up,15,4,3,1,0,9,30,synthetic_booking_summary
ACT-00165,SVC-002,ROOM-0037,2025-04-01,follow_up,9,9,6,3,0,0,30,synthetic_booking_summary
ACT-00166,SVC-002,ROOM-0037,2025-10-01,follow_up,12,11,8,3,0,0,30,synthetic_booking_summary
ACT-00167,SVC-002,ROOM-0037,2025-12-01,follow_up,13,11,8,3,0,0,30,synthetic_booking_summary
ACT-00168,SVC-002,ROOM-0043,2024-04-01,follow_up,18,9,6,3,0,9,30,synthetic_booking_summary
ACT-00169,SVC-002,ROOM-0043,2024-05-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00170,SVC-002,ROOM-0043,2024-06-01,follow_up,24,21,14,7,0,0,30,synthetic_booking_summary
ACT-00171,SVC-002,ROOM-0043,2024-11-01,follow_up,13,0,0,0,0,13,30,synthetic_booking_summary
ACT-00172,SVC-002,ROOM-0043,2025-04-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00173,SVC-002,ROOM-0043,2025-05-01,follow_up,9,0,0,0,0,9,30,synthetic_booking_summary
ACT-00174,SVC-002,ROOM-0043,2025-12-01,follow_up,10,8,6,2,0,0,30,synthetic_booking_summary
ACT-00175,SVC-002,ROOM-0043,2026-03-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00176,SVC-002,ROOM-0049,2024-08-01,follow_up,18,7,5,2,0,9,30,synthetic_booking_summary
ACT-00177,SVC-002,ROOM-0049,2024-10-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00178,SVC-002,ROOM-0049,2024-11-01,follow_up,10,9,6,3,0,0,30,synthetic_booking_summary
ACT-00179,SVC-002,ROOM-0049,2024-12-01,follow_up,13,11,8,3,0,0,30,synthetic_booking_summary
ACT-00180,SVC-002,ROOM-0049,2025-01-01,follow_up,7,6,4,2,0,0,30,synthetic_booking_summary
ACT-00181,SVC-002,ROOM-0049,2025-02-01,follow_up,13,0,0,0,13,0,30,synthetic_booking_summary
ACT-00182,SVC-002,ROOM-0049,2025-04-01,follow_up,6,6,4,2,0,0,30,synthetic_booking_summary
ACT-00183,SVC-002,ROOM-0049,2025-10-01,follow_up,18,18,12,6,0,0,30,synthetic_booking_summary
ACT-00184,SVC-002,ROOM-0055,2024-11-01,follow_up,7,7,5,2,0,0,30,synthetic_booking_summary
ACT-00185,SVC-002,ROOM-0055,2025-01-01,follow_up,20,19,13,6,0,0,30,synthetic_booking_summary
ACT-00186,SVC-002,ROOM-0055,2025-02-01,follow_up,10,9,6,3,0,0,30,synthetic_booking_summary
ACT-00187,SVC-002,ROOM-0055,2025-03-01,follow_up,12,11,8,3,0,0,30,synthetic_booking_summary
ACT-00188,SVC-002,ROOM-0055,2025-04-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00189,SVC-002,ROOM-0055,2025-05-01,follow_up,12,0,0,0,0,12,30,synthetic_booking_summary
ACT-00190,SVC-002,ROOM-0055,2025-08-01,follow_up,12,10,7,3,0,0,30,synthetic_booking_summary
ACT-00191,SVC-002,ROOM-0055,2026-02-01,follow_up,7,5,4,1,0,0,30,synthetic_booking_summary
ACT-00192,SVC-002,ROOM-0055,2026-03-01,follow_up,9,9,6,3,0,0,30,synthetic_booking_summary
ACT-00193,SVC-003,ROOM-0003,2024-06-01,diagnostic,10,10,10,0,0,0,45,synthetic_booking_summary
ACT-00194,SVC-003,ROOM-0003,2024-10-01,diagnostic,10,10,10,0,0,0,45,synthetic_booking_summary
ACT-00195,SVC-003,ROOM-0003,2024-12-01,diagnostic,5,0,0,0,0,5,45,synthetic_booking_summary
ACT-00196,SVC-003,ROOM-0003,2025-01-01,diagnostic,5,4,4,0,0,0,45,synthetic_booking_summary
ACT-00197,SVC-003,ROOM-0003,2025-07-01,diagnostic,4,4,4,0,0,0,45,synthetic_booking_summary
ACT-00198,SVC-003,ROOM-0003,2026-01-01,diagnostic,5,5,5,0,0,0,45,synthetic_booking_summary
ACT-00199,SVC-003,ROOM-0003,2026-02-01,diagnostic,5,3,3,0,0,0,45,synthetic_booking_summary
ACT-00200,SVC-003,ROOM-0009,2024-04-01,diagnostic,21,19,19,0,0,0,45,synthetic_booking_summary
ACT-00201,SVC-003,ROOM-0009,2024-05-01,diagnostic,10,10,10,0,0,0,45,synthetic_booking_summary
ACT-00202,SVC-003,ROOM-0009,2024-07-01,diagnostic,7,0,0,0,0,7,45,synthetic_booking_summary
ACT-00203,SVC-003,ROOM-0009,2024-09-01,diagnostic,11,7,7,0,0,0,45,synthetic_booking_summary
ACT-00204,SVC-003,ROOM-0009,2024-10-01,diagnostic,10,8,8,0,0,0,45,synthetic_booking_summary
ACT-00205,SVC-003,ROOM-0009,2024-11-01,diagnostic,16,16,16,0,0,0,45,synthetic_booking_summary
ACT-00206,SVC-003,ROOM-0009,2025-06-01,diagnostic,4,3,3,0,0,0,45,synthetic_booking_summary
ACT-00207,SVC-003,ROOM-0009,2025-08-01,diagnostic,10,0,0,0,0,10,45,synthetic_booking_summary
ACT-00208,SVC-003,ROOM-0009,2025-09-01,diagnostic,4,3,3,0,0,0,45,synthetic_booking_summary
ACT-00209,SVC-003,ROOM-0009,2025-10-01,diagnostic,10,9,9,0,0,0,45,synthetic_booking_summary
ACT-00210,SVC-003,ROOM-0009,2025-11-01,diagnostic,8,8,8,0,0,0,45,synthetic_booking_summary
ACT-00211,SVC-003,ROOM-0009,2026-01-01,diagnostic,11,10,10,0,0,0,45,synthetic_booking_summary
ACT-00212,SVC-003,ROOM-0009,2026-02-01,diagnostic,13,10,10,0,0,0,45,synthetic_booking_summary
ACT-00213,SVC-003,ROOM-0015,2024-04-01,diagnostic,4,2,2,0,0,0,45,synthetic_booking_summary
ACT-00214,SVC-003,ROOM-0015,2024-10-01,diagnostic,10,0,0,0,0,10,45,synthetic_booking_summary
ACT-00215,SVC-003,ROOM-0015,2024-12-01,diagnostic,16,14,14,0,0,0,45,synthetic_booking_summary
ACT-00216,SVC-003,ROOM-0015,2025-04-01,diagnostic,7,0,0,0,0,7,45,synthetic_booking_summary
ACT-00217,SVC-003,ROOM-0015,2025-05-01,diagnostic,7,6,6,0,0,0,45,synthetic_booking_summary
ACT-00218,SVC-003,ROOM-0015,2025-07-01,diagnostic,11,9,9,0,0,0,45,synthetic_booking_summary
ACT-00219,SVC-003,ROOM-0015,2025-08-01,diagnostic,7,7,7,0,0,0,45,synthetic_booking_summary
ACT-00220,SVC-003,ROOM-0015,2025-10-01,diagnostic,10,8,8,0,0,0,45,synthetic_booking_summary
ACT-00221,SVC-003,ROOM-0015,2025-11-01,diagnostic,8,7,7,0,0,0,45,synthetic_booking_summary
ACT-00222,SVC-003,ROOM-0015,2026-03-01,diagnostic,7,7,7,0,0,0,45,synthetic_booking_summary
ACT-00223,SVC-003,ROOM-0021,2024-04-01,diagnostic,4,2,2,0,0,0,45,synthetic_booking_summary
ACT-00224,SVC-003,ROOM-0021,2024-06-01,diagnostic,7,5,5,0,0,0,45,synthetic_booking_summary
ACT-00225,SVC-003,ROOM-0021,2024-07-01,diagnostic,20,17,17,0,0,0,45,synthetic_booking_summary
ACT-00226,SVC-003,ROOM-0021,2024-08-01,diagnostic,10,10,10,0,0,0,45,synthetic_booking_summary
ACT-00227,SVC-003,ROOM-0021,2024-09-01,diagnostic,10,9,9,0,0,0,45,synthetic_booking_summary
ACT-00228,SVC-003,ROOM-0021,2024-10-01,diagnostic,4,0,0,0,4,0,45,synthetic_booking_summary
ACT-00229,SVC-003,ROOM-0021,2024-11-01,diagnostic,8,6,6,0,0,0,45,synthetic_booking_summary
ACT-00230,SVC-003,ROOM-0021,2025-01-01,diagnostic,8,6,6,0,0,0,45,synthetic_booking_summary
ACT-00231,SVC-003,ROOM-0021,2025-02-01,diagnostic,16,14,14,0,0,0,45,synthetic_booking_summary
ACT-00232,SVC-003,ROOM-0021,2025-03-01,diagnostic,7,5,5,0,0,0,45,synthetic_booking_summary
ACT-00233,SVC-003,ROOM-0021,2025-04-01,diagnostic,4,3,3,0,0,0,45,synthetic_booking_summary
ACT-00234,SVC-003,ROOM-0021,2025-06-01,diagnostic,4,2,2,0,0,0,45,synthetic_booking_summary
ACT-00235,SVC-003,ROOM-0021,2025-09-01,diagnostic,4,0,0,0,4,0,45,synthetic_booking_summary
ACT-00236,SVC-003,ROOM-0021,2025-10-01,diagnostic,10,8,8,0,0,0,45,synthetic_booking_summary
ACT-00237,SVC-003,ROOM-0027,2024-04-01,diagnostic,4,4,4,0,0,0,45,synthetic_booking_summary
