booking_id,room_id,service_id,booking_date,start_time,end_time,booked_duration_minutes,booking_status,cancellation_flag,no_show_flag,actual_attendance_count,planned_attendance_count,session_type,created_date
BOOK-000074,ROOM-0025,SVC-002,2024-05-03,08:30,09:30,60,completed,false,false,5,6,clinic,2024-04-01
BOOK-000075,ROOM-0027,SVC-003,2025-11-12,10:00,11:00,60,cancelled,true,false,0,8,diagnostic,2025-10-10
BOOK-000076,ROOM-0056,SVC-004,2026-01-12,15:00,16:00,60,completed,false,false,7,9,therapy,2025-12-09
BOOK-000077,ROOM-0029,SVC-005,2026-03-31,10:00,11:00,60,completed,false,false,11,12,administrative,2026-02-24
BOOK-000078,ROOM-0048,SVC-006,2024-11-20,15:00,16:00,60,completed,false,false,11,11,clinic,2024-10-15
BOOK-000079,ROOM-0049,SVC-007,2024-11-21,16:30,17:30,60,completed,false,false,10,12,clinic,2024-10-15
BOOK-000080,ROOM-0034,SVC-008,2025-01-10,11:30,12:30,60,completed,false,false,13,13,administrative,2024-12-03
BOOK-000081,ROOM-0035,SVC-009,2024-05-22,10:00,11:00,60,completed,false,false,15,15,administrative,2024-04-13
BOOK-000082,ROOM-0039,SVC-010,2025-02-05,16:30,17:30,60,completed,false,false,6,6,diagnostic,2024-12-27
BOOK-000083,ROOM-0002,SVC-011,2024-06-27,15:00,16:00,60,completed,false,false,5,6,therapy,2024-05-17
BOOK-000084,ROOM-0004,SVC-012,2025-06-30,16:30,17:30,60,completed,false,false,6,7,administrative,2025-06-16
BOOK-000085,ROOM-0007,SVC-001,2025-09-24,13:30,14:30,60,completed,false,true,0,8,clinic,2025-09-09
BOOK-000086,ROOM-0025,SVC-002,2025-02-17,13:30,14:30,60,completed,false,false,9,10,clinic,2025-02-01
BOOK-000087,ROOM-0033,SVC-003,2024-11-13,10:00,11:00,60,completed,false,false,11,11,diagnostic,2024-10-27
BOOK-000088,ROOM-0032,SVC-004,2025-05-19,11:30,12:30,60,completed,false,false,10,11,therapy,2025-05-01
BOOK-000089,ROOM-0047,SVC-005,2026-02-26,08:30,09:30,60,completed,false,false,12,13,administrative,2026-02-07
BOOK-000090,ROOM-0018,SVC-006,2024-06-19,16:30,17:30,60,completed,false,false,3,5,clinic,2024-05-30
BOOK-000091,ROOM-0055,SVC-007,2025-12-16,08:30,09:30,60,completed,false,false,6,6,clinic,2025-11-25
BOOK-000092,ROOM-0022,SVC-008,2025-09-05,15:00,16:00,60,completed,false,false,6,6,administrative,2025-08-14
BOOK-000093,ROOM-0005,SVC-009,2024-10-25,08:30,09:30,60,completed,false,false,14,15,administrative,2024-10-02
BOOK-000094,ROOM-0051,SVC-010,2024-09-09,08:30,09:30,60,completed,false,false,6,8,diagnostic,2024-08-16
BOOK-000095,ROOM-0056,SVC-011,2025-06-25,15:00,16:00,60,completed,false,false,7,9,therapy,2025-05-31
BOOK-000096,ROOM-0028,SVC-012,2025-02-14,10:00,11:00,60,completed,false,false,9,11,administrative,2025-01-19
BOOK-000097,ROOM-0025,SVC-001,2024-12-13,08:30,09:30,60,completed,false,false,12,12,clinic,2024-11-16
BOOK-000098,ROOM-0043,SVC-002,2024-11-15,08:30,09:30,60,cancelled,true,false,0,13,clinic,2024-10-18
BOOK-000099,ROOM-0009,SVC-003,2024-09-06,16:30,17:30,60,completed,false,false,2,4,diagnostic,2024-08-08
BOOK-000100,ROOM-0026,SVC-004,2024-10-11,10:00,11:00,60,completed,false,false,5,5,therapy,2024-09-11
BOOK-000101,ROOM-0047,SVC-005,2024-04-04,11:30,12:30,60,completed,false,false,12,12,administrative,2024-03-04
BOOK-000102,ROOM-0036,SVC-006,2025-06-05,16:30,17:30,60,completed,false,false,6,7,clinic,2025-05-04
BOOK-000103,ROOM-0031,SVC-007,2025-03-17,13:30,14:30,60,completed,false,true,0,8,clinic,2025-02-12
BOOK-000104,ROOM-0022,SVC-008,2025-07-09,11:30,12:30,60,completed,false,false,7,9,administrative,2025-06-05
BOOK-000105,ROOM-0029,SVC-009,2025-02-24,15:00,16:00,60,completed,false,false,14,15,administrative,2025-01-20
BOOK-000106,ROOM-0003,SVC-010,2026-01-29,15:00,16:00,60,completed,false,false,10,12,diagnostic,2025-12-24
BOOK-000107,ROOM-0044,SVC-011,2025-05-23,13:30,14:30,60,completed,false,false,11,12,therapy,2025-04-16
BOOK-000108,ROOM-0010,SVC-012,2025-11-03,15:00,16:00,60,completed,false,false,5,5,administrative,2025-09-26
BOOK-000109,ROOM-0001,SVC-001,2026-03-12,13:30,14:30,60,completed,false,false,5,5,clinic,2026-02-01
BOOK-000110,ROOM-0013,SVC-002,2024-06-17,10:00,11:00,60,completed,false,false,4,6,clinic,2024-05-08
BOOK-000111,ROOM-0033,SVC-003,2024-05-13,10:00,11:00,60,completed,false,false,5,7,diagnostic,2024-04-02
BOOK-000112,ROOM-0008,SVC-004,2024-12-20,13:30,14:30,60,completed,false,false,8,9,therapy,2024-12-06
BOOK-000113,ROOM-0017,SVC-005,2024-11-21,13:30,14:30,60,completed,false,false,10,12,administrative,2024-11-06
BOOK-000114,ROOM-0018,SVC-006,2026-02-09,10:00,11:00,60,completed,false,false,11,11,clinic,2026-01-24
BOOK-000115,ROOM-0022,SVC-008,2025-06-03,10:00,11:00,60,completed,false,false,10,12,administrative,2025-05-16
BOOK-000116,ROOM-0023,SVC-009,2025-08-20,15:00,16:00,60,completed,false,false,14,15,administrative,2025-08-01
BOOK-000117,ROOM-0009,SVC-010,2025-10-27,10:00,11:00,60,completed,false,false,4,5,diagnostic,2025-10-07
BOOK-000118,ROOM-0044,SVC-011,2026-03-26,10:00,11:00,60,completed,false,false,5,6,therapy,2026-03-05
BOOK-000119,ROOM-0022,SVC-012,2025-09-30,11:30,12:30,60,completed,false,true,0,7,administrative,2025-09-08
BOOK-000120,ROOM-0037,SVC-001,2025-05-02,16:30,17:30,60,completed,false,false,7,8,clinic,2025-04-09
BOOK-000121,ROOM-0043,SVC-002,2025-05-14,08:30,09:30,60,cancelled,true,false,0,9,clinic,2025-04-20
BOOK-000122,ROOM-0027,SVC-003,2024-10-15,08:30,09:30,60,completed,false,false,8,10,diagnostic,2024-09-20
BOOK-000123,ROOM-0014,SVC-004,2024-07-30,15:00,16:00,60,cancelled,true,false,0,11,therapy,2024-07-04
BOOK-000124,ROOM-0035,SVC-005,2025-04-04,11:30,12:30,60,completed,false,false,10,12,administrative,2025-03-08
BOOK-000125,ROOM-0036,SVC-006,2024-08-16,10:00,11:00,60,completed,false,false,5,5,clinic,2024-07-19
BOOK-000126,ROOM-0031,SVC-007,2025-10-14,15:00,16:00,60,completed,false,false,3,5,clinic,2025-09-15
BOOK-000127,ROOM-0016,SVC-008,2024-05-20,08:30,09:30,60,completed,false,false,4,6,administrative,2024-04-20
BOOK-000128,ROOM-0011,SVC-009,2024-12-18,11:30,12:30,60,completed,false,false,13,15,administrative,2024-11-17
BOOK-000129,ROOM-0045,SVC-010,2025-02-06,16:30,17:30,60,completed,false,false,9,9,diagnostic,2025-01-05
BOOK-000130,ROOM-0044,SVC-011,2026-02-09,08:30,09:30,60,completed,false,false,8,10,therapy,2026-01-07
BOOK-000131,ROOM-0028,SVC-012,2026-02-10,10:00,11:00,60,completed,false,false,10,11,administrative,2026-01-07
BOOK-000132,ROOM-0037,SVC-001,2024-09-23,13:30,14:30,60,completed,false,false,11,11,clinic,2024-08-19
BOOK-000133,ROOM-0049,SVC-002,2024-12-02,10:00,11:00,60,completed,false,false,11,13,clinic,2024-10-27
BOOK-000134,ROOM-0051,SVC-003,2025-11-19,10:00,11:00,60,completed,false,false,3,5,diagnostic,2025-10-13
BOOK-000135,ROOM-0008,SVC-004,2025-04-02,10:00,11:00,60,completed,false,false,4,5,therapy,2025-02-23
BOOK-000136,ROOM-0023,SVC-005,2025-09-01,10:00,11:00,60,completed,false,false,10,12,administrative,2025-07-24
BOOK-000137,ROOM-0006,SVC-006,2024-05-31,15:00,16:00,60,completed,false,false,7,7,clinic,2024-04-21
BOOK-000138,ROOM-0037,SVC-007,2024-08-27,11:30,12:30,60,completed,false,false,8,8,clinic,2024-07-17
BOOK-000139,ROOM-0046,SVC-008,2024-08-22,13:30,14:30,60,completed,false,false,8,9,administrative,2024-08-08
BOOK-000140,ROOM-0041,SVC-009,2024-07-15,13:30,14:30,60,completed,false,false,14,15,administrative,2024-06-30
BOOK-000141,ROOM-0045,SVC-010,2025-09-01,08:30,09:30,60,completed,false,false,11,11,diagnostic,2025-08-16
BOOK-000142,ROOM-0026,SVC-011,2024-12-19,15:00,16:00,60,cancelled,true,false,0,13,therapy,2024-12-02
BOOK-000143,ROOM-0046,SVC-012,2024-10-22,13:30,14:30,60,completed,false,false,2,4,administrative,2024-10-04
BOOK-000144,ROOM-0043,SVC-001,2024-08-02,11:30,12:30,60,completed,false,false,3,5,clinic,2024-07-14
BOOK-000145,ROOM-0055,SVC-002,2026-02-10,13:30,14:30,60,completed,false,false,5,7,clinic,2026-01-21
BOOK-000146,ROOM-0021,SVC-003,2025-02-26,15:00,16:00,60,completed,false,false,6,8,diagnostic,2025-02-05
BOOK-000147,ROOM-0038,SVC-004,2024-09-25,08:30,09:30,60,completed,false,false,7,8,therapy,2024-09-03
BOOK-000148,ROOM-0029,SVC-005,2025-12-19,15:00,16:00,60,completed,false,true,0,12,administrative,2025-11-26
BOOK-000149,ROOM-0042,SVC-006,2025-01-17,08:30,09:30,60,completed,false,false,10,11,clinic,2024-12-24
BOOK-000150,ROOM-0055,SVC-007,2025-04-01,15:00,16:00,60,completed,false,false,11,11,clinic,2025-03-07
BOOK-000151,ROOM-0028,SVC-008,2025-06-05,10:00,11:00,60,cancelled,true,false,0,12,administrative,2025-05-10
BOOK-000152,ROOM-0053,SVC-009,2025-08-07,15:00,16:00,60,cancelled,true,false,0,15,administrative,2025-07-11
BOOK-000153,ROOM-0045,SVC-010,2024-07-18,15:00,16:00,60,completed,false,false,4,5,diagnostic,2024-06-20
BOOK-000154,ROOM-0056,SVC-011,2024-07-17,16:30,17:30,60,completed,false,false,6,6,therapy,2024-06-18
BOOK-000155,ROOM-0010,SVC-012,2025-01-27,08:30,09:30,60,completed,false,false,6,8,administrative,2024-12-28
BOOK-000156,ROOM-0037,SVC-001,2024-08-14,11:30,12:30,60,completed,false,false,8,8,clinic,2024-07-14
BOOK-000157,ROOM-0049,SVC-002,2024-08-02,13:30,14:30,60,completed,false,false,7,9,clinic,2024-07-01
BOOK-000158,ROOM-0009,SVC-003,2024-05-20,10:00,11:00,60,completed,false,false,10,10,diagnostic,2024-04-17
BOOK-000159,ROOM-0056,SVC-004,2024-04-18,10:00,11:00,60,completed,false,false,10,11,therapy,2024-03-15
BOOK-000160,ROOM-0047,SVC-005,2024-06-06,15:00,16:00,60,completed,false,false,12,12,administrative,2024-05-02
BOOK-000161,ROOM-0012,SVC-006,2024-07-01,08:30,09:30,60,completed,false,false,5,5,clinic,2024-05-26
BOOK-000162,ROOM-0007,SVC-007,2025-04-25,15:00,16:00,60,completed,false,true,0,5,clinic,2025-03-19
BOOK-000163,ROOM-0022,SVC-008,2026-02-11,13:30,14:30,60,completed,false,false,6,7,administrative,2026-01-04
BOOK-000164,ROOM-0029,SVC-009,2026-01-29,13:30,14:30,60,completed,false,false,13,15,administrative,2025-12-21
BOOK-000165,ROOM-0015,SVC-010,2024-08-05,16:30,17:30,60,completed,false,false,6,8,diagnostic,2024-06-26
BOOK-000166,ROOM-0032,SVC-011,2024-06-10,15:00,16:00,60,completed,false,false,9,9,therapy,2024-04-30
BOOK-000167,ROOM-0046,SVC-012,2024-09-05,11:30,12:30,60,completed,false,false,8,10,administrative,2024-08-22
BOOK-000168,ROOM-0043,SVC-001,2024-10-22,15:00,16:00,60,completed,false,false,11,11,clinic,2024-10-07
BOOK-000169,ROOM-0037,SVC-002,2025-10-07,16:30,17:30,60,completed,false,false,11,12,clinic,2025-09-21
BOOK-000170,ROOM-0003,SVC-003,2024-12-13,11:30,12:30,60,cancelled,true,false,0,5,diagnostic,2024-11-26
BOOK-000171,ROOM-0020,SVC-004,2025-12-19,13:30,14:30,60,completed,false,true,0,6,therapy,2025-12-01
BOOK-000172,ROOM-0005,SVC-005,2025-02-14,08:30,09:30,60,completed,false,false,10,12,administrative,2025-01-26
BOOK-000173,ROOM-0012,SVC-006,2024-05-27,15:00,16:00,60,completed,false,false,7,7,clinic,2024-05-07
BOOK-000174,ROOM-0031,SVC-007,2025-09-10,13:30,14:30,60,completed,false,false,7,8,clinic,2025-08-20
BOOK-000175,ROOM-0016,SVC-008,2025-01-16,11:30,12:30,60,completed,false,false,9,10,administrative,2024-12-25
BOOK-000176,ROOM-0023,SVC-009,2024-04-11,08:30,09:30,60,completed,false,false,13,15,administrative,2024-03-19
BOOK-000177,ROOM-0039,SVC-010,2024-08-01,16:30,17:30,60,completed,false,false,10,11,diagnostic,2024-07-08
BOOK-000178,ROOM-0050,SVC-011,2025-09-19,10:00,11:00,60,completed,false,false,10,12,therapy,2025-08-25
BOOK-000179,ROOM-0046,SVC-012,2025-04-02,13:30,14:30,60,completed,false,false,3,4,administrative,2025-03-07
BOOK-000180,ROOM-0025,SVC-001,2024-10-14,15:00,16:00,60,completed,false,false,5,5,clinic,2024-09-17
BOOK-000181,ROOM-0019,SVC-002,2025-01-20,11:30,12:30,60,completed,false,false,7,7,clinic,2024-12-23
BOOK-000182,ROOM-0009,SVC-003,2024-07-12,13:30,14:30,60,cancelled,true,false,0,7,diagnostic,2024-06-13
BOOK-000183,ROOM-0056,SVC-004,2025-04-29,10:00,11:00,60,completed,false,false,8,8,therapy,2025-03-30
BOOK-000184,ROOM-0041,SVC-005,2024-04-19,11:30,12:30,60,completed,false,false,10,12,administrative,2024-03-19
BOOK-000185,ROOM-0048,SVC-006,2026-03-02,11:30,12:30,60,cancelled,true,false,0,10,clinic,2026-01-29
BOOK-000186,ROOM-0031,SVC-007,2024-09-02,13:30,14:30,60,completed,false,false,9,11,clinic,2024-07-31
BOOK-000187,ROOM-0010,SVC-008,2024-08-06,13:30,14:30,60,completed,false,false,11,12,administrative,2024-07-03
BOOK-000188,ROOM-0017,SVC-009,2024-05-03,10:00,11:00,60,completed,false,false,15,15,administrative,2024-03-29
BOOK-000189,ROOM-0003,SVC-010,2024-05-03,11:30,12:30,60,cancelled,true,false,0,5,diagnostic,2024-03-28
BOOK-000190,ROOM-0026,SVC-011,2024-08-08,08:30,09:30,60,cancelled,true,false,0,6,therapy,2024-07-02
BOOK-000191,ROOM-0022,SVC-012,2024-04-23,13:30,14:30,60,completed,false,false,7,7,administrative,2024-03-16
BOOK-000192,ROOM-0019,SVC-001,2024-04-25,15:00,16:00,60,completed,false,false,6,8,clinic,2024-03-17
BOOK-000193,ROOM-0037,SVC-002,2025-04-07,16:30,17:30,60,completed,false,false,9,9,clinic,2025-02-26
BOOK-000194,ROOM-0051,SVC-003,2025-05-19,10:00,11:00,60,completed,false,false,10,10,diagnostic,2025-04-08
BOOK-000195,ROOM-0056,SVC-004,2025-11-05,11:30,12:30,60,completed,false,false,11,12,therapy,2025-10-22
BOOK-000196,ROOM-0041,SVC-005,2024-07-18,16:30,17:30,60,completed,false,false,10,12,administrative,2024-07-03
BOOK-000197,ROOM-0054,SVC-006,2024-06-21,16:30,17:30,60,completed,false,false,5,5,clinic,2024-06-05
BOOK-000198,ROOM-0049,SVC-007,2024-05-31,16:30,17:30,60,completed,false,false,4,5,clinic,2024-05-14
BOOK-000199,ROOM-0034,SVC-008,2024-07-25,11:30,12:30,60,cancelled,true,false,0,6,administrative,2024-07-07
BOOK-000200,ROOM-0053,SVC-009,2025-10-29,08:30,09:30,60,completed,false,false,15,15,administrative,2025-10-10
BOOK-000201,ROOM-0015,SVC-010,2024-12-18,13:30,14:30,60,completed,false,false,9,9,diagnostic,2024-11-28
BOOK-000202,ROOM-0032,SVC-011,2025-09-24,10:00,11:00,60,completed,false,false,9,9,therapy,2025-09-03
BOOK-000203,ROOM-0004,SVC-012,2026-02-06,10:00,11:00,60,completed,false,false,10,11,administrative,2026-01-15
BOOK-000204,ROOM-0001,SVC-001,2024-07-11,10:00,11:00,60,completed,false,false,10,11,clinic,2024-06-18
BOOK-000205,ROOM-0037,SVC-002,2024-11-12,08:30,09:30,60,completed,false,false,13,13,clinic,2024-10-19
BOOK-000206,ROOM-0027,SVC-003,2025-06-24,11:30,12:30,60,completed,false,false,2,4,diagnostic,2025-05-30
BOOK-000207,ROOM-0002,SVC-004,2025-03-10,08:30,09:30,60,completed,false,false,4,5,therapy,2025-02-12
BOOK-000208,ROOM-0023,SVC-005,2024-10-23,11:30,12:30,60,completed,false,false,10,12,administrative,2024-09-26
BOOK-000209,ROOM-0054,SVC-006,2024-08-09,10:00,11:00,60,completed,false,false,6,7,clinic,2024-07-12
BOOK-000210,ROOM-0031,SVC-007,2025-04-30,15:00,16:00,60,cancelled,true,false,0,8,clinic,2025-04-01
BOOK-000211,ROOM-0022,SVC-008,2026-01-05,11:30,12:30,60,completed,false,false,10,10,administrative,2025-12-06
BOOK-000212,ROOM-0029,SVC-009,2026-02-12,15:00,16:00,60,completed,false,false,14,15,administrative,2026-01-12
BOOK-000213,ROOM-0015,SVC-010,2025-03-28,08:30,09:30,60,completed,false,false,9,11,diagnostic,2025-02-24
BOOK-000214,ROOM-0032,SVC-011,2025-06-05,15:00,16:00,60,completed,false,false,11,12,therapy,2025-05-03
BOOK-000215,ROOM-0010,SVC-012,2025-12-10,16:30,17:30,60,completed,false,false,4,5,administrative,2025-11-06
BOOK-000216,ROOM-0025,SVC-001,2025-05-26,16:30,17:30,60,completed,false,false,4,5,clinic,2025-04-21
BOOK-000217,ROOM-0007,SVC-002,2026-03-11,15:00,16:00,60,completed,false,false,4,6,clinic,2026-02-03
BOOK-000218,ROOM-0015,SVC-003,2025-04-29,08:30,09:30,60,cancelled,true,false,0,7,diagnostic,2025-03-23
BOOK-000219,ROOM-0002,SVC-004,2026-02-02,16:30,17:30,60,completed,false,false,9,9,therapy,2025-12-26
BOOK-000220,ROOM-0017,SVC-005,2024-05-24,13:30,14:30,60,completed,false,false,11,12,administrative,2024-04-15
BOOK-000221,ROOM-0006,SVC-006,2025-05-15,15:00,16:00,60,completed,false,false,8,10,clinic,2025-04-05
BOOK-000222,ROOM-0007,SVC-007,2025-01-23,10:00,11:00,60,cancelled,true,false,0,12,clinic,2024-12-13
BOOK-000223,ROOM-0040,SVC-008,2024-08-28,13:30,14:30,60,completed,false,false,11,12,administrative,2024-08-14
BOOK-000224,ROOM-0017,SVC-009,2024-12-16,11:30,12:30,60,completed,false,false,14,15,administrative,2024-12-01
